battle_id,win,turns,damage_taken,final_hp
318,True,4,24,80
319,True,4,32,80
320,True,4,24,80
321,True,4,24,80
322,True,4,32,80
323,True,4,24,80
324,True,4,24,80
325,True,4,24,80
326,True,4,24,80
327,True,4,24,80
328,True,4,24,80
329,True,4,24,80
330,True,4,24,80
331,True,4,24,80
332,True,3,24,80
333,True,4,32,80
334,True,4,24,80
335,True,4,24,80
336,True,3,16,80
337,True,4,24,80
338,True,4,32,80
339,True,4,32,80
340,True,4,24,80
341,True,4,24,80
342,True,4,24,80
343,True,4,24,80
344,True,3,24,80
345,True,4,24,80
346,True,4,24,80
347,True,3,24,80
348,True,4,24,80
349,True,3,24,80
350,True,4,24,80
351,True,4,24,80
352,True,4,24,80
353,True,4,24,80
354,True,4,24,80
355,True,3,24,80
356,True,4,24,80
357,True,4,32,80
358,True,4,24,80
359,True,4,32,80
360,True,4,24,80
361,True,4,32,80
362,True,3,16,80
363,True,3,24,80
364,True,4,24,80
365,True,4,24,80
366,True,4,32,80
367,True,4,24,80
368,True,3,24,80
369,True,4,24,80
370,True,4,32,80
371,True,4,24,80
372,True,4,24,80
373,True,4,24,80
374,True,4,24,80
375,True,4,24,80
376,True,4,24,80
377,True,4,24,80
378,True,4,24,80
379,True,3,24,80
380,True,3,24,80
381,True,4,24,80
382,True,4,24,80
383,True,4,32,80
384,True,4,24,80
385,True,4,24,80
386,True,4,24,80
387,True,4,24,80
388,True,4,24,80
389,True,4,24,80
390,True,4,24,80
391,True,4,24,80
392,True,4,24,80
393,True,4,24,80
394,True,4,24,80
395,True,3,24,80
396,True,4,24,80
397,True,4,24,80
398,True,4,24,80
399,True,4,24,80
400,True,4,24,80
401,True,4,24,80
402,True,4,24,80
403,True,4,24,80
404,True,4,24,80
405,True,4,32,80
406,True,4,24,80
407,True,3,16,80
408,True,4,24,80
409,True,5,32,80
410,True,3,24,80
411,True,4,32,80
412,True,4,32,80
413,True,4,24,80
414,True,4,24,80
415,True,4,24,80
416,True,4,24,80
417,True,4,24,80
418,True,4,24,80
419,True,4,24,80
420,True,4,24,80
421,True,4,24,80
422,True,4,24,80
423,True,4,24,80
424,True,4,24,80
425,True,3,24,80
426,True,4,24,80
427,True,4,24,80
428,True,4,24,80
429,True,4,24,80
430,True,4,24,80
431,True,4,24,80
432,True,4,32,80
433,True,4,24,80
434,True,4,24,80
435,True,4,24,80
436,True,4,24,80
437,True,3,24,80
438,True,4,24,80
439,True,4,32,80
440,True,4,24,80
441,True,4,24,80
442,True,4,24,80
443,True,4,24,80
444,True,4,24,80
445,True,4,24,80
446,True,4,24,80
447,True,4,24,80
448,True,4,24,80
449,True,4,24,80
450,True,3,24,80
451,True,4,24,80
452,True,4,24,80
453,True,4,24,80
454,True,4,24,80
455,True,5,32,80
456,True,4,24,80
457,True,4,24,80
458,True,4,24,80
459,True,4,24,80
460,True,4,24,80
461,True,4,24,80
462,True,4,24,80
463,True,4,24,80
464,True,4,24,80
465,True,4,24,80
466,True,3,24,80
467,True,4,32,80
468,True,4,24,80
469,True,4,24,80
470,True,4,24,80
471,True,4,24,80
472,True,4,24,80
473,True,4,24,80
474,True,4,24,80
475,True,4,24,80
476,True,4,32,80
477,True,3,16,80
478,True,4,24,80
479,True,4,24,80
480,True,4,24,80
481,True,4,24,80
482,True,4,24,80
483,True,4,24,80
484,True,4,24,80
485,True,4,32,80
486,True,4,24,80
487,True,4,32,80
488,True,4,24,80
489,True,4,24,80
490,True,4,24,80
491,True,3,24,80
492,True,4,24,80
493,True,4,24,80
494,True,4,24,80
495,True,4,24,80
496,True,3,24,80
497,True,3,24,80
498,True,4,24,80
499,True,4,24,80
500,True,4,24,80
501,True,4,24,80
502,True,4,24,80
503,True,4,24,80
504,True,4,24,80
505,True,4,24,80
506,True,4,24,80
507,True,4,24,80
508,True,4,24,80
509,True,4,24,80
510,True,4,24,80
511,True,4,24,80
512,True,4,24,80
513,True,4,24,80
514,True,4,24,80
515,True,4,24,80
516,True,4,24,80
517,True,4,24,80
518,True,4,24,80
519,True,3,24,80
520,True,3,24,80
521,True,4,32,80
522,True,4,32,80
523,True,4,24,80
524,True,4,24,80
525,True,4,24,80
526,True,4,24,80
527,True,3,16,80
528,True,4,24,80
529,True,3,16,80
530,True,4,24,80
531,True,4,24,80
532,True,4,24,80
533,True,3,24,80
534,True,4,24,80
535,True,4,24,80
536,True,4,24,80
537,True,4,24,80
538,True,4,24,80
539,True,4,24,80
540,True,3,24,80
541,True,3,24,80
542,True,4,24,80
543,True,4,32,80
544,True,4,24,80
545,True,4,24,80
546,True,4,24,80
547,True,4,24,80
548,True,4,24,80
549,True,4,24,80
550,True,3,24,80
551,True,5,32,80
552,True,3,24,80
553,True,4,24,80
554,True,4,24,80
555,True,4,24,80
556,True,4,24,80
557,True,4,24,80
558,True,4,24,80
559,True,4,24,80
560,True,4,24,80
561,True,4,24,80
562,True,4,24,80
563,True,4,24,80
564,True,4,24,80
565,True,3,16,80
566,True,3,16,80
567,True,4,24,80
568,True,4,24,80
569,True,4,24,80
570,True,3,24,80
571,True,4,24,80
572,True,3,24,80
573,True,4,24,80
574,True,4,24,80
575,True,4,24,80
576,True,4,24,80
577,True,3,24,80
578,True,4,24,80
579,True,4,24,80
580,True,4,24,80
581,True,3,16,80
582,True,3,24,80
583,True,3,24,80
584,True,4,24,80
585,True,4,24,80
586,True,4,24,80
587,True,4,24,80
588,True,4,24,80
589,True,4,24,80
590,True,4,24,80
591,True,4,24,80
592,True,3,24,80
593,True,4,24,80
594,True,4,24,80
595,True,4,24,80
596,True,4,24,80
597,True,4,24,80
598,True,4,24,80
599,True,4,24,80
600,True,3,24,80
601,True,4,24,80
602,True,5,32,80
603,True,4,24,80
604,True,4,24,80
605,True,4,24,80
606,True,4,24,80
607,True,4,24,80
608,True,4,24,80
609,True,4,24,80
610,True,3,24,80
611,True,4,32,80
612,True,4,24,80
613,True,4,24,80
614,True,4,32,80
615,True,4,24,80
616,True,4,24,80
617,True,4,24,80
618,True,4,24,80
619,True,4,24,80
620,True,4,24,80
621,True,4,24,80
622,True,4,24,80
623,True,4,24,80
624,True,4,24,80
625,True,4,24,80
626,True,4,24,80
627,True,5,32,80
628,True,3,24,80
629,True,4,24,80
630,True,4,24,80
631,True,5,32,80
632,True,4,24,80
633,True,4,24,80
634,True,4,24,80
635,True,4,24,80
636,True,4,24,80
637,True,4,24,80
638,True,4,24,80
639,True,4,32,80
640,True,3,24,80
641,True,4,24,80
642,True,4,24,80
643,True,4,24,80
644,True,4,24,80
645,True,4,24,80
646,True,4,24,80
647,True,4,24,80
648,True,3,24,80
649,True,5,32,80
650,True,4,24,80
651,True,4,24,80
652,True,3,24,80
653,True,4,24,80
654,True,4,32,80
655,True,4,24,80
656,True,4,24,80
657,True,3,24,80
658,True,3,16,80
659,True,4,24,80
660,True,4,32,80
661,True,4,24,80
662,True,4,24,80
663,True,4,24,80
664,True,4,24,80
665,True,4,32,80
666,True,4,24,80
667,True,4,24,80
668,True,4,24,80
669,True,4,32,80
670,True,4,24,80
671,True,4,32,80
672,True,4,24,80
673,True,4,24,80
674,True,4,24,80
675,True,4,24,80
676,True,4,24,80
677,True,4,24,80
678,True,4,24,80
679,True,4,24,80
680,True,3,24,80
681,True,4,24,80
682,True,4,24,80
683,True,4,24,80
684,True,3,24,80
685,True,4,24,80
686,True,4,24,80
687,True,4,24,80
688,True,4,24,80
689,True,4,24,80
690,True,4,24,80
691,True,4,24,80
692,True,4,24,80
693,True,4,24,80
694,True,4,32,80
695,True,4,24,80
696,True,3,24,80
697,True,4,24,80
698,True,4,24,80
699,True,4,24,80
700,True,4,24,80
701,True,3,24,80
702,True,3,24,80
703,True,4,24,80
704,True,4,24,80
705,True,4,24,80
706,True,4,24,80
707,True,4,24,80
708,True,4,24,80
709,True,4,24,80
710,True,4,24,80
711,True,4,24,80
712,True,4,24,80
713,True,3,24,80
714,True,4,24,80
715,True,4,24,80
716,True,3,16,80
717,True,4,24,80
718,True,4,24,80
719,True,4,24,80
720,True,4,24,80
721,True,4,32,80
722,True,4,24,80
723,True,4,24,80
724,True,3,24,80
725,True,4,24,80
726,True,4,24,80
727,True,4,24,80
728,True,4,24,80
729,True,4,24,80
